"db","X_id","X_rev","value","timestamp","study_id","uid"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000001_p000070_y2017","1-b75916d07483665ffb1ffef319358fe4","N","2018-12-28T15:35:20.672Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000002_p000022_y2017","1-962e2b917a1a3dca7b89a69ea858f0f3","T","2018-12-28T15:35:29.194Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000003_p000018_y2017","1-e2d464c65d9046035f55cd8715f75c85","N","2018-12-28T15:35:31.680Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000004_p000017_y2008","1-857d890f039a54cd63871e5cfc9d5402","T","2018-12-28T15:35:33.453Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000005_p000049_y2008","1-19f95341c4b7c2d9b080e3aea4cb0dc9","U","2018-12-28T15:35:36.896Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000006_p000001_y2008","1-04d27526d52682c10dcb23ea5c496a34","N","2018-12-28T15:35:41.015Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000007_p000079_y2017","1-35327fa092a7519ffcb5b68b4968e60c","T","2018-12-28T15:35:43.037Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000008_p000069_y2008","1-dd35387a144784fbed50fa4316e85e90","N","2018-12-28T15:35:46.265Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000009_p000002_y2008","1-ec85948d56da1d5e795998a9d4b5111e","N","2018-12-28T15:35:47.526Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000010_p000035_y2008","1-b4dfa3f80f048f9a1dcf767043262881","N","2018-12-28T15:35:48.748Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000011_p000071_y2017","1-dff1bba08d5a8f222def33a8ee1030d2","T","2018-12-28T15:35:50.173Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000012_p000046_y2008","1-967214613f10eaa6bee013038b4c07e0","N","2018-12-28T15:35:51.836Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000013_p000025_y2017","1-e2e41dd320221b9ad7c453a26def061c","N","2018-12-28T15:35:52.829Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000014_p000038_y2008","1-83614b1ab8d303f8f369f5747d5b4bca","N","2018-12-28T15:35:55.180Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000015_p000031_y2008","1-5e3dbb2922eb86d77aea5253c1e3a79c","N","2018-12-28T15:35:56.280Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000016_p000031_y2017","1-a60003a7102bbe056dcb04a9eaa18d19","N","2018-12-28T15:35:57.589Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000017_p000081_y2008","1-05f4a989d415cd5b49143c32ee1f07d5","N","2018-12-28T15:35:58.780Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000018_p000032_y2017","1-a0fecf283143842e1a7c3a6bda38b538","T","2018-12-28T15:36:00.182Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000019_p000082_y2017","1-210c544b3fc624f7e19009251bc68f7e","T","2018-12-28T15:36:02.086Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000020_p000060_y2017","1-38c73c0e270fa483a91a9f936b26c9aa","T","2018-12-28T15:36:03.644Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000021_p000008_y2008","1-e9dce68ef07be4e949d0048dfdf18b19","N","2018-12-28T15:36:05.330Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000022_p000051_y2017","1-a2e38a904a77a0dbe784dd3d400826bc","T","2018-12-28T15:38:13.270Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000023_p000010_y2017","1-0b7853017a5d4e333ffb5b5efdb003da","T","2018-12-28T15:38:34.518Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000024_p000070_y2008","1-b162f70837c64573730fa145b798cd79","N","2018-12-28T15:38:36.181Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000025_p000021_y2017","1-7ca3686c3356bcd34136eda9b692a112","N","2018-12-28T15:38:37.273Z",NA,"A"
