"_id","area","y2008","y2017","total_ids"
"p000001","rb",3,1,4
"p000002","rb",2,1,3
"p000003","rb",1,1,2
"p000004","rb",1,1,2
"p000005","rb",1,2,3
"p000006","rb",1,1,2
"p000007","rb",1,3,4
"p000008","rb",1,1,2
"p000009","rb",1,2,3
"p000010","rb",2,1,3
"p000011","rb",1,1,2
"p000012","rb",1,1,2
"p000013","rb",1,3,4
"p000014","rb",1,1,2
"p000015","rb",1,1,2
"p000016","rb",1,0,1
"p000017","rb",3,1,4
"p000018","rb",1,1,2
"p000019","rb",1,1,2
"p000020","rb",1,1,2
"p000021","rb",1,2,3
"p000022","rb",1,1,2
"p000023","rb",2,1,3
"p000024","rb",1,1,2
"p000025","rb",1,2,3
"p000026","rb",1,1,2
"p000027","rb",1,1,2
"p000028","rb",3,1,4
"p000029","rb",1,2,3
"p000030","rb",1,1,2
"p000031","rb",2,1,3
"p000032","rb",1,1,2
"p000033","rb",1,1,2
"p000034","rb",1,2,3
"p000035","rb",1,1,2
"p000036","rb",2,2,4
"p000037","rb",1,1,2
"p000038","rb",1,1,2
"p000039","rb",1,1,2
"p000040","rb",1,1,2
"p000041","rb",1,1,2
"p000042","rb",1,1,2
"p000043","rb",1,1,2
"p000044","rb",1,1,2
"p000045","rb",2,1,3
"p000046","rb",2,1,3
"p000047","rb",1,2,3
"p000048","rb",2,1,3
"p000049","rb",1,2,3
"p000050","rb",0,1,1
"p000051","rb",2,1,3
"p000052","rb",1,1,2
"p000053","rb",1,3,4
"p000054","rb",1,1,2
"p000055","rb",1,1,2
"p000056","rb",1,0,1
"p000057","rb",2,1,3
"p000058","rb",2,1,3
"p000059","rb",1,1,2
"p000060","rb",1,1,2
"p000061","rb",2,2,4
"p000062","rb",2,0,2
"p000063","rb",1,1,2
"p000064","rb",0,1,1
"p000065","rb",2,0,2
"p000066","rb",1,1,2
"p000067","rb",2,1,3
"p000068","rb",2,1,3
"p000069","rb",1,1,2
"p000070","rb",1,2,3
"p000071","rb",1,2,3
"p000072","rb",1,1,2
"p000073","rb",2,2,4
"p000074","rb",1,1,2
"p000075","rb",1,1,2
"p000076","rb",2,1,3
"p000077","rb",1,4,5
"p000078","rb",1,1,2
"p000079","rb",1,2,3
"p000080","rb",1,1,2
"p000081","rb",1,1,2
"p000082","rb",2,1,3
"p000083","rb",1,1,2
"p000084","rb",1,1,2
"p000085","rb",1,1,2
"p000086","rb",2,1,3
"p000087","rb",1,2,3
"p000088","rb",1,1,2
"p000089","rb",1,1,2
"p000090","rb",1,1,2
"p000091","rb",1,1,2
"p000092","rb",1,1,2
"p000093","rb",1,1,2
"p000094","rb",1,1,2
"p000095","rb",1,1,2
"p000096","rb",1,1,2
"p000097","rb",3,1,4
"p000098","rb",3,2,5
"p000099","rb",1,1,2
"p000100","rb",1,1,2
"p000101","rb",2,1,3
"p000102","rb",1,1,2
"p000103","rb",1,2,3
"p000104","rb",1,1,2
"p000105","rb",1,1,2
"p000106","rb",1,1,2
"p000107","rb",2,1,3
"p000108","rb",1,1,2
"p000109","rb",1,1,2
"p000110","rb",1,1,2
"p000111","rb",1,3,4
"p000112","rb",1,1,2
"p000113","rb",1,1,2
"p000114","rb",2,2,4
"p000115","rb",1,1,2
"p000116","rb",1,1,2
"p000117","rb",1,1,2
"p000118","rb",1,1,2
"p000119","rb",1,1,2
"p000120","rb",0,1,1
"p000121","rb",1,1,2
"p000122","rb",2,1,3
"p000123","rb",1,1,2
"p000124","rb",2,3,5
"p000125","rb",1,1,2
"p000126","rb",1,2,3
"p000127","rb",3,1,4
"p000128","rb",1,1,2
"p000129","rb",1,1,2
"p000130","rb",2,1,3
"p000131","rb",2,1,3
"p000132","rb",1,1,2
"p000133","rb",1,1,2
"p000134","rb",1,1,2
"p000135","rb",1,1,2
"p000136","rb",2,1,3
"p000137","rb",2,0,2
"p000138","rb",2,2,4
"p000139","rb",1,1,2
"p000140","rb",1,1,2
